date,store_nbr,station_nbr,item_nbr,units
2012-01-01,1,1,9,29
2012-01-01,1,1,28,2
2012-01-01,1,1,51,1
2012-01-01,2,14,5,191
2012-01-01,2,14,44,215
2012-01-01,3,7,5,214
2012-01-01,3,7,45,112
2012-01-01,4,9,9,61
2012-01-01,4,9,27,21
2012-01-01,5,12,16,24
2012-01-01,5,12,32,1
2012-01-01,5,12,37,16
2012-01-01,6,14,9,44
2012-01-01,6,14,45,86
2012-01-01,7,6,5,137
2012-01-01,7,6,7,2
2012-01-01,7,6,23,16
2012-01-01,8,4,5,38
2012-01-01,8,4,23,4
2012-01-01,9,17,5,131
2012-01-01,9,17,10,4
2012-01-01,9,17,45,72
2012-01-01,9,17,93,4
2012-01-01,10,12,5,98
2012-01-01,10,12,37,32
2012-01-01,10,12,93,3
2012-01-01,11,10,9,74
2012-01-01,11,10,68,48
2012-01-01,12,11,16,29
2012-01-01,12,11,37,28
2012-01-01,12,11,79,2
2012-01-01,12,11,93,1
2012-01-01,13,6,5,77
2012-01-01,13,6,36,121
2012-01-01,13,6,46,1
2012-01-01,14,16,9,8
2012-01-01,14,16,50,2
2012-01-01,14,16,70,2
2012-01-01,15,13,5,64
2012-01-01,15,13,17,2
2012-01-01,15,13,45,108
2012-01-01,15,13,49,2
2012-01-01,16,2,16,25
2012-01-01,16,2,25,187
2012-01-01,17,20,9,179
2012-01-01,17,20,37,85
2012-01-01,17,20,48,147
2012-01-01,18,17,5,18
2012-01-01,18,17,37,17
2012-01-01,19,15,16,21
2012-01-01,19,15,83,10
2012-01-01,20,7,5,165
2012-01-01,20,7,41,37
2012-01-01,20,7,74,5
2012-01-01,21,3,5,58
2012-01-01,21,3,44,129
2012-01-01,22,10,9,37
2012-01-01,22,10,68,47
2012-01-01,22,10,93,3
2012-01-01,23,17,5,58
2012-01-01,23,17,29,1
2012-01-01,23,17,45,35
2012-01-01,24,9,6,42
2012-01-01,24,9,43,72
2012-01-01,24,9,60,1
2012-01-01,25,13,9,126
2012-01-01,25,13,45,90
2012-01-01,25,13,81,11
2012-01-01,26,17,5,64
2012-01-01,26,17,45,68
2012-01-01,27,10,9,26
2012-01-01,27,10,68,42
2012-01-01,27,10,80,1
2012-01-01,28,7,5,65
2012-01-01,28,7,45,68
2012-01-01,29,3,8,14
2012-01-01,29,3,41,37
2012-01-01,29,3,45,98
2012-01-01,30,19,16,16
2012-01-01,30,19,44,120
2012-01-01,30,19,49,1
2012-01-01,30,19,51,6
2012-01-01,31,17,9,40
2012-01-01,31,17,45,83
2012-01-01,32,13,9,65
2012-01-01,32,13,45,46
2012-01-01,32,13,58,8
