date,day,holiday_name
2012-01-01,Sunday,NewYearsDay
2012-01-16,Monday,MartinLutherKingDay
2012-02-14,Tuesday,ValentinesDay
2012-02-20,Monday,PresidentsDay
2012-04-08,Sunday,EasterSunday
2012-05-13,Sunday,MothersDay
2012-05-28,Monday,MemorialDay
2012-06-17,Sunday,FathersDay
2012-07-04,Wednesday,IndependenceDay
2012-09-03,Monday,LaborDay
2012-10-08,Monday,ColumbusDay
2012-10-31,Wednesday,Halloween
2012-11-11,Sunday,VeteransDay
2012-11-22,Thursday,ThanksgivingDay
2012-12-24,Monday,ChristmasEve
2012-12-25,Tuesday,ChristmasDay
2012-12-31,Monday,NewYearsEve
2013-01-01,Tuesday,NewYearsDay
2013-01-21,Monday,MartinLutherKingDay
2013-02-14,Thursday,ValentinesDay
2013-02-18,Monday,PresidentsDay
2013-03-31,Sunday,EasterSunday
2013-05-12,Sunday,MothersDay
2013-05-27,Monday,MemorialDay
2013-06-16,Sunday,FathersDay
2013-07-04,Thursday,IndependenceDay
2013-09-02,Monday,LaborDay
2013-10-14,Monday,ColumbusDay
2013-10-31,Thursday,Halloween
2013-11-11,Monday,VeteransDay
2013-11-28,Thursday,ThanksgivingDay
2013-12-24,Tuesday,ChristmasEve
2013-12-25,Wednesday,ChristmasDay
2013-12-31,Tuesday,NewYearsEve
2014-01-01,Wednesday,NewYearsDay
2014-01-20,Monday,MartinLutherKingDay
2014-02-14,Friday,ValentinesDay
2014-02-17,Monday,PresidentsDay
2014-04-20,Sunday,EasterSunday
2014-05-11,Sunday,MothersDay
2014-05-26,Monday,MemorialDay
2014-06-15,Sunday,FathersDay
2014-07-04,Friday,IndependenceDay
2014-09-01,Monday,LaborDay
2014-10-13,Monday,ColumbusDay
2014-10-31,Friday,Halloween
