station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
1,2012-01-01,52.0,31.0,42.0,16.0,36.0,40.0,23.0,0.0,716.0,1626.0,0.0,0.05,29.78,29.92,3.6,20.0,4.6
2,2012-01-01,48.0,33.0,41.0,16.0,37.0,39.0,24.0,0.0,716.0,1626.0,0.0,0.07,28.82,29.91,9.1,23.0,11.3
3,2012-01-01,55.0,34.0,45.0,9.0,24.0,36.0,20.0,0.0,735.0,1720.0,0.0,0.0,29.77,30.47,9.9,31.0,10.0
4,2012-01-01,63.0,47.0,55.0,4.0,28.0,43.0,10.0,0.0,728.0,1742.0,0.0,0.0,29.79,30.48,8.0,35.0,8.2
6,2012-01-01,63.0,34.0,49.0,0.0,31.0,43.0,16.0,0.0,727.0,1742.0,0.0,0.0,29.95,30.47,14.0,36.0,13.8
7,2012-01-01,50.0,33.0,42.0,0.0,26.0,35.0,23.0,0.0,727.0,1742.0,0.0,0.0,29.15,30.54,10.3,32.0,10.2
8,2012-01-01,66.0,45.0,42.0,0.0,34.0,46.0,23.0,0.0,727.0,1742.0,0.0,0.0,30.05,30.54,11.0,36.0,10.9
9,2012-01-01,34.0,19.0,27.0,0.0,17.0,23.0,38.0,0.0,727.0,1742.0,0.0,0.0,29.34,30.09,22.8,30.0,22.5
10,2012-01-01,73.0,53.0,63.0,0.0,55.0,58.0,2.0,0.0,723.0,1738.0,0.0,0.0,30.16,30.19,5.1,24.0,5.5
11,2012-01-01,72.0,48.0,60.0,7.0,54.0,56.0,5.0,0.0,724.0,1737.0,0.0,0.0,30.15,30.18,4.6,23.0,4.8
12,2012-01-01,72.0,48.0,60.0,7.0,54.0,57.0,5.0,0.0,724.0,1737.0,0.0,0.0,30.15,30.19,4.4,25.0,4.8
13,2012-01-01,38.0,18.0,28.0,7.0,12.0,21.0,37.0,0.0,724.0,1737.0,0.0,0.0,24.6,30.59,2.5,16.0,6.1
14,2012-01-01,50.0,34.0,42.0,5.0,25.0,35.0,23.0,0.0,739.0,1729.0,0.0,0.0,29.13,30.52,11.4,32.0,11.3
15,2012-01-01,48.0,26.0,37.0,16.0,35.0,38.0,28.0,0.0,718.0,1621.0,0.0,0.09,29.53,29.89,2.5,17.0,3.8
16,2012-01-01,50.0,30.0,40.0,16.0,37.0,40.0,25.0,0.0,718.0,1621.0,0.0,0.09,29.8,29.89,4.2,21.0,6.8
17,2012-01-01,56.0,38.0,47.0,16.0,23.0,37.0,18.0,0.0,718.0,1621.0,0.0,0.0,29.83,30.5,5.4,32.0,5.8
18,2012-01-01,59.0,40.0,50.0,4.0,28.0,40.0,15.0,0.0,730.0,1732.0,0.0,0.0,29.98,30.49,9.0,33.0,8.9
19,2012-01-01,38.0,25.0,32.0,10.0,26.0,30.0,33.0,0.0,723.0,1628.0,0.5,0.12,29.06,29.79,14.6,29.0,15.6
20,2012-01-01,59.0,41.0,50.0,10.0,28.0,40.0,15.0,0.0,723.0,1628.0,0.0,0.0,29.78,30.48,10.9,33.0,10.8
1,2012-01-02,50.0,31.0,41.0,10.0,26.0,35.0,24.0,0.0,723.0,1628.0,0.0,0.01,29.44,29.62,9.8,24.0,10.3
2,2012-01-02,46.0,28.0,37.0,12.0,24.0,32.0,28.0,0.0,716.0,1627.0,0.0,0.01,28.51,29.62,12.7,26.0,13.3
3,2012-01-02,45.0,24.0,35.0,-1.0,11.0,28.0,30.0,0.0,735.0,1721.0,0.0,0.0,29.89,30.63,7.7,32.0,8.2
4,2012-01-02,60.0,37.0,49.0,-2.0,26.0,39.0,16.0,0.0,728.0,1742.0,0.0,0.0,29.93,30.64,3.7,36.0,4.8
6,2012-01-02,60.0,30.0,45.0,-4.0,27.0,38.0,20.0,0.0,727.0,1742.0,0.0,0.0,30.09,30.63,9.0,1.0,9.3
7,2012-01-02,44.0,26.0,35.0,-4.0,17.0,29.0,30.0,0.0,727.0,1742.0,0.0,0.0,29.23,30.66,5.7,34.0,6.9
8,2012-01-02,59.0,36.0,35.0,-4.0,29.0,40.0,30.0,0.0,727.0,1742.0,0.0,0.0,30.25,30.66,6.2,36.0,6.7
9,2012-01-02,21.0,11.0,16.0,-4.0,8.0,15.0,49.0,0.0,727.0,1742.0,0.0,0.0,29.67,30.44,14.4,32.0,14.7
10,2012-01-02,65.0,45.0,55.0,-4.0,33.0,46.0,10.0,0.0,723.0,1738.0,0.0,0.0,30.11,30.14,10.2,30.0,11.2
11,2012-01-02,63.0,40.0,52.0,-1.0,31.0,44.0,13.0,0.0,724.0,1738.0,0.0,0.0,30.1,30.14,10.2,29.0,11.1
12,2012-01-02,65.0,47.0,56.0,-1.0,33.0,46.0,9.0,0.0,724.0,1738.0,0.0,0.0,30.09,30.14,11.7,30.0,12.7
13,2012-01-02,50.0,16.0,33.0,-1.0,17.0,28.0,32.0,0.0,724.0,1738.0,0.0,0.0,24.55,30.54,6.1,16.0,6.8
14,2012-01-02,45.0,26.0,36.0,-1.0,16.0,29.0,29.0,0.0,739.0,1729.0,0.0,0.0,29.21,30.65,6.3,35.0,7.4
15,2012-01-02,43.0,29.0,36.0,15.0,24.0,32.0,29.0,0.0,718.0,1622.0,0.0,0.02,29.2,29.58,7.1,24.0,8.1
16,2012-01-02,50.0,30.0,40.0,15.0,26.0,35.0,25.0,0.0,718.0,1622.0,0.0,0.01,29.48,29.59,9.6,27.0,10.9
17,2012-01-02,45.0,22.0,34.0,15.0,10.0,28.0,31.0,0.0,718.0,1622.0,0.0,0.0,29.96,30.66,3.7,33.0,4.8
18,2012-01-02,53.0,35.0,44.0,-2.0,23.0,36.0,21.0,0.0,730.0,1733.0,0.0,0.0,30.11,30.63,6.7,35.0,6.9
